微博内容,发布者名称,发布时间以及设备,发布者主页
#上海高铁晚点#nnd，你发不发？发，我发我发我发啧啧啧，这准点到达多是一件美事……高铁上信号好差，放我走​,目标是成为带演奏家,4分钟前 来自iPhone客户端,https://weibo.com/5579482491?refer_flag=1001030103_
#高铁晚点#栓q第12306次晚点了​,曹山慢城-w,4分钟前 来自iPhone客户端,https://weibo.com/3479921147?refer_flag=1001030103_
#沪杭高铁今天部分列车晚点#幸亏发现的早，去坐大巴了​,多情应笑我007,4分钟前 来自微博国际版,https://weibo.com/1784150913?refer_flag=1001030103_
#高铁晚点#D3135你能动一动吗？​,Senonseitu,5分钟前 来自vivoX27,https://weibo.com/7206566799?refer_flag=1001030103_
#高铁晚点#我真的谢谢你一个小时的车程差十分钟到站你停了两个多小时了能不能行啊​,榆树婷,5分钟前 来自iPhone客户端,https://weibo.com/5469903751?refer_flag=1001030103_
#高铁晚点#原来我就是那个受晚点影响的倒霉蛋(^_^*)​,魔法少女小鱼丸,5分钟前 来自越前送的iPhone12(绿色),https://weibo.com/5311627199?refer_flag=1001030103_
离家焦虑在高铁晚点，向车厢飞奔达到了高峰​,小王不要熬夜,5分钟前 来自荣耀50Pro5G,https://weibo.com/5788614059?refer_flag=1001030103_
我谢谢你，还不让下车，也没有通知，就让人干等着#高铁晚点#,十年如烟轻转流年,5分钟前 来自iPhone12,https://weibo.com/3740208147?refer_flag=1001030103_
#高铁晚点#我唯一一次八点起床早到了半小时没有踩点坐高铁。沪杭高铁你欠我的200多分钟延迟用什么还​,陪我等雨下,5分钟前 来自iPhone客户端,https://weibo.com/6968189948?refer_flag=1001030103_
#高铁晚点#我晕了晚点三个小时高铁上39一份的自热米饭难吃的一批这个周六我一整个谢住​,咪酱的粉红兔兔,5分钟前 来自iPhone客户端,https://weibo.com/6327461492?refer_flag=1001030103_
#高铁晚点#【列车消防安全看这边！】胖妞提醒大家，在乘坐高铁、动车或者普通列车时，消防安全千万别忽略呀！#消防安全#​​​,九江消防,5分钟前,https://weibo.com/2082596927?refer_flag=1001030103_
#高铁晚点#小李卡在🚄上已经2个小时了​,癸登西,5分钟前 来自iPhone客户端,https://weibo.com/1907001644?refer_flag=1001030103_
#杭州东站##高铁晚点#高铁大面积晚点的杭州东站2杭州·杭州东站​,菲菲不会飞丶,5分钟前 来自iPhone客户端,https://weibo.com/5408786888?refer_flag=1001030103_
#高铁晚点#G122动了没有​,Www要上进呀,5分钟前 来自HUAWEIP30,https://weibo.com/6604385971?refer_flag=1001030103_
#高铁晚点#G7572有没有带充电宝的朋友手机没电了，这辆车座位还没有插座，她说她在排队等充电​,努力努力再努力的奔向你,5分钟前 来自nova6SE好看拍出来看,https://weibo.com/6629892069?refer_flag=1001030103_
#高铁晚点#G1501动车上的保安态度好差啊啊啊，大家都是有事情做动车赶路的，就想问问清楚具体是啥情况，就嚷嚷着我们都下车退票就好了？我也想退票，但是因为工作的事，打工人别无选择​,小仙贝dog,5分钟前 来自RedmiK40,https://weibo.com/6909410621?refer_flag=1001030103_
从去年到今年心态逐渐被训练出来了：比如说，前天刚到上海，ycj延期了，比如说，今天我刚到高铁站想回家，发现沪杭线道路故障全线晚点停运。没有关系，这就是人生❤️​,IsAerolite,5分钟前 来自iPhone客户端,https://weibo.com/2164761135?refer_flag=1001030103_
#高铁晚点#余姚北站停了45分钟纯纯无语了就想回学校晒个被子现在到学校太阳都快下山了​,sleep-oil,6分钟前 来自HUAWEIP405G,https://weibo.com/6538196520?refer_flag=1001030103_
#高铁晚点#那些说能不能将心比心别骂了的人能不能将心比心一下我！早上七点没吃早饭起来赶动车被卡在高铁上三小时还没饭吃，高血压犯了​,·眠眠虫·,6分钟前 来自iPhone13,https://weibo.com/6818522157?refer_flag=1001030103_
#高铁晚点#在候车厅等了三个小时了你把我鲨了吧..​,对镜-,6分钟前 来自Android,https://weibo.com/5646780285?refer_flag=1001030103_
#高铁晚点#我9点40狂奔到高铁上想着45发车还在庆幸终于赶上了现在快4个小时了终于走了！！！2上海·上海虹桥站​,Lemen朱梦瑶,6分钟前 来自iPhone客户端,https://weibo.com/5210836600?refer_flag=1001030103_
🆘南京南人太多了吧，疫情还这么严重，我恨高铁晚点​,自愿赠与,6分钟前 来自🌷Ju’siPhone11Pro,https://weibo.com/5254024284?refer_flag=1001030103_
