微博内容,发布者名称,发布时间以及设备,发布者主页
#长沙自建房倒塌第9名被困者救出#虽然时间过去了那么久，但是，希望能坚持，救援也能坚持！毕竟有一个临界点7天。为逝者祷告，去往天堂！为生者祷告，能得救。​,用户4614679596,8分钟前 来自iPhone客户端,https://weibo.com/7714390519?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#开始还不知道在哪，原来就离我家5公里以内…​,_鬼鬼0o_,8分钟前 来自今天吃了吗iPhone客户端,https://weibo.com/1256449054?refer_flag=1001030103_
湖南长沙居民自建房倒塌事故第9名被困人员被救出O网页链接期待第十名，第十一名……一定会有更多的奇迹🙏🏻🙏🏻🙏🏻​,月白鲤,9分钟前 来自HUAWEIMate305G,https://weibo.com/1242025633?refer_flag=1001030103_
湖南长沙居民自建房倒塌事故救援进展：现场仍有生命迹象已确定第9名被困者位置O网页链接为生命点赞，向奋战在一线的救援同志和消防官兵致敬！​,来自虎岭的小弦子,9分钟前 来自分享按钮,https://weibo.com/7319390215?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#剩下的人都挺住坚持住啊🙏🙏🙏🙏​,思思爱小鱼,10分钟前 来自nova6SE好看拍出来看,https://weibo.com/2754003997?refer_flag=1001030103_
《记者实探长沙房屋倒塌事发地：违建现象严重，自建房遍地开花》记者实探长沙房屋倒塌事发地：违建现象严重，自建房遍地开花O网页链接​,沧海一粟_1999,10分钟前 来自百度极速版,https://weibo.com/6033325143?refer_flag=1001030103_
湖南长沙居民自建房倒塌事故救援进展：现场仍有生命迹象已确定第9名被困者位置-今日头条O网页链接被困人员确认位置后要尽快先设法输送一些水和食物（现在超过72小时了）！这种豆腐渣房倒屋塌后基本是碎片所以解救工作非常困难！祈祷被困人员安然无恙​,月白鲤,10分钟前 来自HUAWEIMate305G,https://weibo.com/1242025633?refer_flag=1001030103_
【全市疫情防控和安全生产工作电视电话会议召开】昨日，市委书记、市疫情防控指挥部总指挥陈岸明主持召开全市疫情防控和安全生产工作电视电话会议，同时套开市新冠肺炎防控领导小组（指挥部）第七十一次会议，深入学习贯彻习近平总书记关于疫情防控和安全生产工作、对湖南长沙居民自建房倒塌事故的重要​展开c,中国侨都-江门发布,10分钟前 来自微博weibo.com,https://weibo.com/5167878023?refer_flag=1001030103_
【最新！湖南长沙居民自建房倒塌事故#第9名被困人员被救出#】5月3日4时15分许，湖南#长沙居民自建房倒塌事故第9名被困人员被救出#。5月3日凌晨，记者在事故救援现场看到，救援人员正在对第九位被困人员进行营救。3时10分左右，消防员判断其准确位置，并打通一个孔，看到了第九位被困人员，是一名女性。​展开c,我是舅姥爷,10分钟前 来自荣耀30S5G美由芯生,https://weibo.com/5600040734?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#🙏🙏🙏祈祷平安，希望还有奇迹出现🙏🙏🙏🙏​,西南鹰狼,10分钟前 来自高级摄影师HarmonyOS设备,https://weibo.com/7478362944?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#第9名被困人员被救出，是一名女性，已被送往医院救治。谢谢救援人员的不懈努力，希望大家都平安，期待更多的奇迹！​,开心宝宝-100,11分钟前 来自iPhoneX,https://weibo.com/7308697324?refer_flag=1001030103_
#红网#【第9名被困人员被救出！长沙居民自建房倒塌事故现场救援最新进展O网页链接】(分享自@时刻新闻客户端)O网页链接​,廓斐,12分钟前 来自时刻新闻,https://weibo.com/1916931832?refer_flag=1001030103_
王勇在湖南长沙指导居民自建房倒塌事故救援和应急处置工作O王勇在湖南长沙指导居民自建房倒塌事故救援和应急处置工作​,用户lgeogkhkc2,12分钟前 来自学习强国客户端,https://weibo.com/1110999625?refer_flag=1001030103_
王勇在湖南长沙指导居民自建房倒塌事故救援和应急处置工作O王勇在湖南长沙指导居民自建房倒塌事故救援和应急处置工作​,用户lgeogkhkc2,12分钟前 来自学习强国客户端,https://weibo.com/1110999625?refer_flag=1001030103_
【绵羊说星座】长沙有一幢老式的居民自建房倒塌了。目前已经造成了23人被困，36人失联。在东航坠机事故刚发​长沙医学院36名大学生失联，父母心急如焚：人生常态就是无常O网页链接​,李文彬L,14分钟前 来自UC浏览器Android,https://weibo.com/3294910165?refer_flag=1001030103_
【最新消息！#长沙自建房倒塌第9名被困者救出#】今天，湖南#长沙自建房倒塌事故救援第5天#。凌晨4时许，第9名被困人员被救出，是一名女性，已被送往医院救治。期待更多奇迹！L央视新闻的微博视频（总台记者尧遥陈稼）​2郑州·中科院计算技术研究所大数据研究院院士办公室​,财智孙国英,15分钟前 来自微博视频号,https://weibo.com/2752375765?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#看到女生还能笑出来，太好了！加油💪​,光亮不可逆,15分钟前 来自iPhone客户端,https://weibo.com/1275624887?refer_flag=1001030103_
长沙塌楼：第9名获救！下一阶段将如何开展救援？5月3日4时15分许长沙居民自建房倒塌事故近88小时后救出第9名被困者获救女子可与外界交流已被紧急送往医院。在现场看到，2日22时许，救援现场叫停机械作业、人员走动等可能发出声响的行为，为雷达生命探测仪、蛇眼探测仪等搜救工具创造“静默”环境。救援​展开c,青岛市清大东方消防培训职业学校,16分钟前 来自HUAWEIP50E,https://weibo.com/2567218253?refer_flag=1001030103_
【最新消息！#长沙自建房倒塌第9名被困者救出#】今天，湖南#长沙自建房倒塌事故救援第5天#。凌晨4时许，第9名被困人员被救出，是一名女性，已被送往医院救治。期待更多奇迹！L央视新闻的微博视频（央视新闻）​​​,用户微博世界,17分钟前 来自Android,https://weibo.com/6089486426?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#祈祷都救出来，一个不落​,热妍,17分钟前 来自iPadPro,https://weibo.com/1768964890?refer_flag=1001030103_
#沈铁微分享#【#长沙居民自建房倒塌事故近88小时后救出第九名被困者#】,沈铁丹东站,17分钟前 来自新版微博weibo.com,https://weibo.com/3147973431?refer_flag=1001030103_
【#长沙自建房倒塌第9名被困者救出#】今天，湖南#长沙自建房倒塌事故救援第5天#。凌晨4时许，第9名被困人员被救出，是一名女性，已被送往医院救治。期待更多奇迹！L央视新闻的微博视频​,厦门日报,17分钟前 来自微博视频号,https://weibo.com/1765891182?refer_flag=1001030103_
湖南长沙居民自建房倒塌事故第9名被困人员被救出O网页链接全力以赴，不放过任何一个机会​,一哥想喝汤,17分钟前 来自vivoX70Pro+,https://weibo.com/2140237965?refer_flag=1001030103_
#想大口喝矿泉水的女孩成功获救#【#救援人员讲述第8位被困者获救细节#】今晚，#长沙自建房倒塌救出第8名被困人员#。救援人员介绍，被困女孩两条腿都被埋压，虽然曾提出过截肢的方案，但是为了最大限度保护被困者，救援人员通过几个小时的加固，成功将她救出！L央视新闻的微博视频​,丹棱县公安局,18分钟前 来自iPhone客户端,https://weibo.com/5168131006?refer_flag=1001030103_
彻夜搜救！消防员讲述长沙自建房倒塌救援难点L翰科建筑资质咨询的微博视频​,翰科建筑资质咨询,18分钟前 来自iPhone客户端,https://weibo.com/5915802592?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#5月3日4时15分左右，经过救援人员的努力，第9名被困人员成功获救，第一时间送往医院救治。#长沙自建房倒塌事故救援第5天##第9名被困人员被救出#L中国消防的微博视频​​​​//@蚌埠消防:转发微博,滑漫1985,18分钟前 来自HarmonyOS设备,https://weibo.com/7348481112?refer_flag=1001030103_
O长沙居民自建房倒塌事故：9名犯罪嫌疑人被刑拘长沙居民自建房倒塌事故：9名犯罪嫌疑人被刑拘​,悠悠如我爱云人,18分钟前 来自新版微博weibo.com,https://weibo.com/5358529973?refer_flag=1001030103_
O长沙居民自建房倒塌事故：9名犯罪嫌疑人被刑拘长沙居民自建房倒塌事故：9名犯罪嫌疑人被刑拘​,暖流计划-三门峡驿站,19分钟前 来自新版微博weibo.com,https://weibo.com/3869748388?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#5月3日4时15分左右，经过救援人员的努力，第9名被困人员成功获救，第一时间送往医院救治。#长沙自建房倒塌事故救援第5天##第9名被困人员被救出#L中国消防的微博视频​​​,福建消防,19分钟前 来自微博视频号,https://weibo.com/2606243004?refer_flag=1001030103_
长沙居民自建房倒塌事故为何不采用“揭盖子”方式救援？专家回应​@红网L红网的微博视频​,湖南微博联盟,20分钟前 来自微博weibo.com,https://weibo.com/7001332292?refer_flag=1001030103_
#时政#5月3日，星期二，农历四月初三1、湖南长沙居民自建房倒塌事故救援进展：现场仍有生命迹象，已确定第9名被困者位置。2、市场监管总局：3月全国新设市场主体同比增长19.3%。3、北京新增“41+9”，新增3个高风险地区，建外SOHO、望京SOHO、华贸购物中心被临时管控。4、北京单样本核酸检测价格​展开c,江西中公教育,20分钟前 来自微博weibo.com,https://weibo.com/1778029363?refer_flag=1001030103_
5月3日4时15分许，长沙居民自建房倒塌事故近88小时后救出第九名被困者。获救女子可与外界交流，已被紧急送往医院。O今日凌晨，长沙居民自建房倒塌事故近88小时后救出第九名被困者​,广西影视频道,20分钟前 来自新版微博weibo.com,https://weibo.com/1912363071?refer_flag=1001030103_
滚滚说事4月29日，湖南长沙一居民自建房发生倒塌事故，造成23人被困，另有39人失联。5月2日，第8名被困人员被救出。3日凌晨4时许，第9名被困人员被救出，是一名女性，已被送往医院救治。@中国新闻网​,洛可可叮咚,20分钟前 来自滚滚说事超话,https://weibo.com/7533382738?refer_flag=1001030103_
加油#长沙自建房倒塌第9名被困者救出#,潇容nihao,20分钟前 来自vivoS12Pro,https://weibo.com/7303223842?refer_flag=1001030103_
【最新！湖南长沙居民自建房倒塌事故#第9名被困人员被救出#】5月3日4时15分许，湖南#长沙居民自建房倒塌事故第9名被困人员被救出#。5月3日凌晨，记者在事故救援现场看到，救援人员正在对第九位被困人员进行营救。3时10分左右，消防员判断其准确位置，并打通一个孔，看到了第九位被困人员，是一名女性。​展开c,滨州CHEN,20分钟前 来自微博视频号,https://weibo.com/3912126634?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#剩下的人一定要挺住​,这次不会走掉,21分钟前 来自这不是iPhone13,https://weibo.com/6481439744?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#祝平安，最近天能看到各地各种各样的发声，我相信现场救援人员内心也是焦急万分。同时针对很多人的“疑问”，这篇公众号上面也整理出来了，其实前面在直播中专家也阐述“救援难点”，这次文字版更加易懂。希望大家理智发声，也期待更多好消息2长沙​,收集一杯雾Mi,21分钟前 来自HUAWEIMate20,https://weibo.com/5766180427?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#想哭一栋楼都这么难救那那时候的汶川又得多难我都不敢想象了​,芝士宇圆,21分钟前 来自微博搜索,https://weibo.com/6067714911?refer_flag=1001030103_
