,微博内容,分词后,去除停用词之后
10,【广东省第十三次党代会将于明年5月召开】12月23日上午，中共广东省委举行新闻发布会。广东省委常委、宣传部部长，省委新闻发言人陈建文介绍省委十二届十五次全会的有关情况。省委十二届十五次全会于12月21日至22日在广州召开。“这次全会是在全省上下认真学习贯彻党的十九届六中全会精神、昂首阔步​展开c,"['【', '广东省', '第十三次', '党代会', '将', '于', '明年', '5', '月', '召开', '】', '12', '月', '23', '日', '上午', '，', '中共广东省委', '举行', '新闻', '发布会', '。', '广东省委', '常委', '、', '宣传部', '部长', '，', '省委', '新闻', '发言人', '陈', '建文', '介绍', '省委', '十二届', '十五次', '全会', '的', '有关', '情况', '。', '省委', '十二届', '十五次', '全会', '于', '12', '月', '21', '日至', '22', '日', '在', '广州', '召开', '。', '“', '这次', '全会', '是', '在', '全省', '上下', '认真学习', '贯彻', '党', '的', '十九', '届', '六中全会', '精神', '、', '昂首阔步', '\u200b', '展开', 'c']","['广东省', '第十三次', '党代会', '明年', '月', '12', '月', '23', '日', '上午', '，', '中共广东省委', '新闻', '发布会', '。', '广东省委', '常委', '宣传部', '部长', '，', '省委', '新闻', '发言人', '陈', '建文', '介绍', '省委', '十二届', '十五次', '全会', '情况', '。', '省委', '十二届', '十五次', '全会', '12', '月', '21', '日至', '22', '日', '广州', '。', '“', '这次', '全会', '全省', '认真学习', '贯彻', '党', '十九', '届', '六中全会', '精神', '昂首阔步', '\u200b', '展开', 'c']"
11,【坚持人民至上是我们党百年奋斗的制胜法宝】党的十九届六中全会全面总结了我们党领导人民百年奋斗所积累的十个方面历史经验，“坚持人民至上”在其中居于十分重要的地位，有着深厚的实践基础、丰富的理论内涵和重大的历史意义，是新时代新征程我们党的事业继续发展壮大的重要遵循，需要认真学习、深入​展开c,"['【', '坚持', '人民', '至上', '是', '我们', '党', '百年', '奋斗', '的', '制胜', '法宝', '】', '党', '的', '十九', '届', '六中全会', '全面', '总结', '了', '我们', '党', '领导', '人民', '百年', '奋斗', '所', '积累', '的', '十个', '方面', '历史', '经验', '，', '“', '坚持', '人民', '至上', '”', '在', '其中', '居于', '十分', '重要', '的', '地位', '，', '有着', '深厚', '的', '实践', '基础', '、', '丰富', '的', '理论', '内涵', '和', '重大', '的', '历史', '意义', '，', '是', '新', '时代', '新', '征程', '我们', '党', '的', '事业', '继续', '发展壮大', '的', '重要', '遵循', '，', '需要', '认真学习', '、', '深入', '\u200b', '展开', 'c']","['人民', '至上', '党', '百年', '奋斗', '制胜', '法宝', '党', '十九', '届', '六中全会', '党', '领导', '人民', '百年', '奋斗', '积累', '十个', '历史', '经验', '，', '“', '人民', '至上', '”', '居于', '地位', '，', '深厚', '实践', '基础', '理论', '内涵', '历史', '意义', '，', '新', '时代', '新', '征程', '党', '事业', '发展壮大', '遵循', '，', '认真学习', '\u200b', '展开', 'c']"
12,【深刻领会党百年奋斗的历史意义】党的十九届六中全会《决议》在全面回顾总结党的百年奋斗历程和重大成就基础上，以更宏阔的视角从五个方面总结党的百年奋斗的历史意义。习近平总书记指出：“这五条概括，既立足中华大地，又放眼人类未来，体现了中国共产党和中国人民、中华民族的关系，体现了中国共产​展开c,"['【', '深刻领会', '党', '百年', '奋斗', '的', '历史', '意义', '】', '党', '的', '十九', '届', '六中全会', '《', '决议', '》', '在', '全面', '回顾总结', '党', '的', '百年', '奋斗', '历程', '和', '重大成就', '基础', '上', '，', '以', '更', '宏阔', '的', '视角', '从', '五个', '方面', '总结', '党', '的', '百年', '奋斗', '的', '历史', '意义', '。', '习近平', '总书记', '指出', '：', '“', '这', '五条', '概括', '，', '既', '立足', '中华', '大地', '，', '又', '放眼', '人类', '未来', '，', '体现', '了', '中国共产党', '和', '中国', '人民', '、', '中华民族', '的', '关系', '，', '体现', '了', '中国', '共产', '\u200b', '展开', 'c']","['深刻领会', '党', '百年', '奋斗', '历史', '意义', '党', '十九', '届', '六中全会', '决议', '回顾总结', '党', '百年', '奋斗', '历程', '重大成就', '基础', '上', '，', '更', '宏阔', '视角', '五个', '党', '百年', '奋斗', '历史', '意义', '。', '习近平', '总书记', '指出', '：', '“', '五条', '概括', '，', '立足', '中华', '大地', '，', '放眼', '人类', '未来', '，', '体现', '中国共产党', '中国', '人民', '中华民族', '关系', '，', '体现', '中国', '共产', '\u200b', '展开', 'c']"
13,各地贯彻党的十九届六中全会精神加强科技创新观察O网页链接​,"['各地', '贯彻', '党', '的', '十九', '届', '六中全会', '精神', '加强', '科技', '创新', '观察', 'O', '网页', '链接', '\u200b']","['贯彻', '党', '十九', '届', '六中全会', '精神', '科技', '创新', '观察', 'O', '网页', '链接', '\u200b']"
14,【十九届六中全会】立山区召开学习贯彻党的十九届六中全会精神市委宣讲团宣讲报告会O【十九届六中全会】立山区召开学习贯彻党的十九届六中全会精神市委宣讲团宣讲报告会​,"['【', '十九', '届', '六中全会', '】', '立山区', '召开', '学习', '贯彻', '党', '的', '十九', '届', '六中全会', '精神', '市委', '宣讲团', '宣讲', '报告会', 'O', '【', '十九', '届', '六中全会', '】', '立山区', '召开', '学习', '贯彻', '党', '的', '十九', '届', '六中全会', '精神', '市委', '宣讲团', '宣讲', '报告会', '\u200b']","['十九', '届', '六中全会', '立山区', '学习', '贯彻', '党', '十九', '届', '六中全会', '精神', '市委', '宣讲团', '宣讲', '报告会', 'O', '十九', '届', '六中全会', '立山区', '学习', '贯彻', '党', '十九', '届', '六中全会', '精神', '市委', '宣讲团', '宣讲', '报告会', '\u200b']"
15,【马宁宇参加市第十一次党代会花溪区代表团讨论】12月22日，马宁宇同志来到市第十一次党代会花溪区代表团，同代表们一起讨论审议市党代会报告和市纪委工作报告。他强调，要深入学习贯彻党的十九届六中全会精神和省委十二届十次全会精神，奋力走好“强省会”赶考路，努力成为贵阳贵安高质量发展的“缩影​展开c,"['【', '马宁宇', '参加', '市', '第十一次', '党代会', '花溪区', '代表团', '讨论', '】', '12', '月', '22', '日', '，', '马宁宇', '同志', '来到', '市', '第十一次', '党代会', '花溪区', '代表团', '，', '同', '代表', '们', '一起', '讨论', '审议', '市', '党代会', '报告', '和', '市', '纪委', '工作', '报告', '。', '他', '强调', '，', '要', '深入', '学习', '贯彻', '党', '的', '十九', '届', '六中全会', '精神', '和', '省委', '十二届', '十次', '全会精神', '，', '奋力', '走', '好', '“', '强', '省会', '”', '赶考', '路', '，', '努力', '成为', '贵阳', '贵安', '高质量', '发展', '的', '“', '缩影', '\u200b', '展开', 'c']","['马宁宇', '参加', '市', '第十一次', '党代会', '花溪区', '代表团', '讨论', '12', '月', '22', '日', '，', '马宁宇', '同志', '来到', '市', '第十一次', '党代会', '花溪区', '代表团', '，', '代表', '讨论', '审议', '市', '党代会', '报告', '市', '纪委', '工作', '报告', '。', '，', '学习', '贯彻', '党', '十九', '届', '六中全会', '精神', '省委', '十二届', '十次', '全会精神', '，', '奋力', '走', '好', '“', '强', '省会', '”', '赶考', '路', '，', '努力', '贵阳', '贵安', '高质量', '发展', '“', '缩影', '\u200b', '展开', 'c']"
16,#辉煌的五年#为全面贯彻落实党的十九届六中全会精神，迎接中国共产党琼海市第十四次党员代表大会，琼海融媒今起推出系列综述《辉煌的五年》，全面展示琼海在政治、经济、文化、社会、生态文明和党的建设等方面取得的辉煌成就。今天请看《精准扶贫拔穷根产业“造血”劈富路》。点击查看新闻详情↓↓​展开c,"['#', '辉煌', '的', '五年', '#', '为', '全面', '贯彻落实', '党', '的', '十九', '届', '六中全会', '精神', '，', '迎接', '中国共产党', '琼海市', '第十四次', '党员', '代表大会', '，', '琼海', '融媒', '今起', '推出', '系列', '综述', '《', '辉煌', '的', '五年', '》', '，', '全面', '展示', '琼海', '在', '政治', '、', '经济', '、', '文化', '、', '社会', '、', '生态', '文明', '和', '党的建设', '等', '方面', '取得', '的', '辉煌成就', '。', '今天', '请', '看', '《', '精准', '扶贫', '拔', '穷根', '产业', '“', '造血', '”', '劈富路', '》', '。', '点击', '查看', '新闻', '详情', '↓', '↓', '\u200b', '展开', 'c']","['辉煌', '五年', '贯彻落实', '党', '十九', '届', '六中全会', '精神', '，', '迎接', '中国共产党', '琼海市', '第十四次', '党员', '代表大会', '，', '琼海', '融媒', '今起', '推出', '系列', '综述', '辉煌', '五年', '，', '展示', '琼海', '政治', '经济', '文化', '社会', '生态', '文明', '党的建设', '辉煌成就', '。', '请', '看', '精准', '扶贫', '拔', '穷根', '产业', '“', '造血', '”', '劈富路', '。', '点击', '查看', '新闻', '详情', '↓', '↓', '\u200b', '展开', 'c']"
17,#商丘日报#【周树群主持召开市五届人大常委会三十四次会议】12月21日至22日，市人大常委会主任周树群主持召开市五届人大常委会第三十四次会议，传达学习党的十九届六中全会精神，听取审议相关议题。副主任王琦、姬脉常、李振兴、何振岭、刘彦华和秘书长李冰出席会议。市委常委、常务副市长张家明，市​展开c,"['#', '商丘', '日报', '#', '【', '周树群', '主持', '召开', '市', '五届', '人大常委会', '三十', '四次会议', '】', '12', '月', '21', '日至', '22', '日', '，', '市', '人大常委会', '主任', '周树群', '主持', '召开', '市', '五届', '人大常委会', '第三十四', '次', '会议', '，', '传达', '学习', '党', '的', '十九', '届', '六中全会', '精神', '，', '听取', '审议', '相关', '议题', '。', '副', '主任', '王琦', '、', '姬脉常', '、', '李', '振兴', '、', '何振岭', '、', '刘彦华', '和', '秘书长', '李冰', '出席会议', '。', '市委常委', '、', '常务副', '市长', '张家', '明', '，', '市', '\u200b', '展开', 'c']","['商丘', '日报', '周树群', '主持', '市', '五届', '人大常委会', '三十', '四次会议', '12', '月', '21', '日至', '22', '日', '，', '市', '人大常委会', '主任', '周树群', '主持', '市', '五届', '人大常委会', '第三十四', '次', '会议', '，', '传达', '学习', '党', '十九', '届', '六中全会', '精神', '，', '听取', '审议', '相关', '议题', '。', '副', '主任', '王琦', '姬脉常', '李', '振兴', '何振岭', '刘彦华', '秘书长', '李冰', '出席会议', '。', '市委常委', '常务副', '市长', '张家', '明', '，', '市', '\u200b', '展开', 'c']"
18,#我为群众办实事#【助人为乐好警察平凡举动暖人心】O【我为群众办实事】助人为乐好警察平凡举动暖人心民之所望，政之所向。“我为群众办实事”实践活动开展以来，天水公安把解决群众最关心、最直接、最现实的具体问题作为落脚点，立足本职、卯足干劲、下足功夫，切实在认识上提升、措施上严密、工作上便民，以实际行动贯彻落实​展开c,"['#', '我', '为', '群众', '办实事', '#', '【', '助人为乐', '好', '警察', '平凡', '举动', '暖', '人心', '】', 'O', '【', '我', '为', '群众', '办实事', '】', '助人为乐', '好', '警察', '平凡', '举动', '暖', '人心', '民之所望', '，', '政之所', '向', '。', '“', '我', '为', '群众', '办实事', '”', '实践', '活动', '开展', '以来', '，', '天水', '公安', '把', '解决', '群众', '最', '关心', '、', '最', '直接', '、', '最', '现实', '的', '具体', '问题', '作为', '落脚点', '，', '立足本职', '、', '卯足', '干劲', '、', '下足', '功夫', '，', '切实', '在', '认识', '上', '提升', '、', '措施', '上', '严密', '、', '工作', '上', '便民', '，', '以', '实际行动', '贯彻落实', '\u200b', '展开', 'c']","['群众', '办实事', '助人为乐', '好', '警察', '平凡', '举动', '暖', '人心', 'O', '群众', '办实事', '助人为乐', '好', '警察', '平凡', '举动', '暖', '人心', '民之所望', '，', '政之所', '。', '“', '群众', '办实事', '”', '实践', '活动', '，', '天水', '公安', '解决', '群众', '最', '关心', '最', '最', '现实', '落脚点', '，', '立足本职', '卯足', '干劲', '下足', '功夫', '，', '切实', '上', '提升', '措施', '上', '严密', '工作', '上', '便民', '，', '实际行动', '贯彻落实', '\u200b', '展开', 'c']"
19,【周春晖进学校宣讲党的十九届六中全会和省第十二次党代会精神】12月21日，芙蓉区召开文明创建工作讲评会，就当前文明创建工作情况进行讲评，并对下阶段重点工作进行了部署。区委副书记、统战部部长、党校校长蒋红波讲话，会议由区委常委、宣传部部长杨光华主持，区政府党组成员、副区长文升云出席。区​展开c,"['【', '周', '春晖', '进', '学校', '宣讲', '党', '的', '十九', '届', '六中全会', '和', '省', '第十二次', '党代会', '精神', '】', '12', '月', '21', '日', '，', '芙蓉区', '召开', '文明', '创建', '工作', '讲评', '会', '，', '就', '当前', '文明', '创建', '工作', '情况', '进行', '讲评', '，', '并', '对', '下', '阶段', '重点', '工作', '进行', '了', '部署', '。', '区委', '副', '书记', '、', '统战部', '部长', '、', '党校', '校长', '蒋红波', '讲话', '，', '会议', '由', '区委', '常委', '、', '宣传部', '部长', '杨', '光华', '主持', '，', '区政府', '党组', '成员', '、', '副区长', '文升云', '出席', '。', '区', '\u200b', '展开', 'c']","['周', '春晖', '进', '学校', '宣讲', '党', '十九', '届', '六中全会', '省', '第十二次', '党代会', '精神', '12', '月', '21', '日', '，', '芙蓉区', '文明', '创建', '工作', '讲评', '会', '，', '文明', '创建', '工作', '情况', '讲评', '，', '下', '阶段', '重点', '工作', '部署', '。', '区委', '副', '书记', '统战部', '部长', '党校', '校长', '蒋红波', '讲话', '，', '会议', '区委', '常委', '宣传部', '部长', '杨', '光华', '主持', '，', '区政府', '党组', '成员', '副区长', '文升云', '出席', '。', '区', '\u200b', '展开', 'c']"
20,【梅陇镇蔷薇二居党总支开展学习贯彻党的十九届六中全会精神主题党日活动】会上，居民区党总支书记围绕习近平总书记在十九届六中全会上的重要讲话和《决议》内容，带领大家对党的十九届六中全会精神进行全面学习领会。此次主题党日活动的开展，使党员们把贯彻党的十九届六中全会精神与社区工作实际结合​展开c,"['【', '梅陇镇', '蔷薇', '二居', '党总支', '开展', '学习', '贯彻', '党', '的', '十九', '届', '六中全会', '精神', '主题', '党日', '活动', '】', '会上', '，', '居民区', '党总支', '书记', '围绕', '习近平', '总书记', '在', '十九', '届', '六中全会', '上', '的', '重要讲话', '和', '《', '决议', '》', '内容', '，', '带领', '大家', '对党', '的', '十九', '届', '六中全会', '精神', '进行', '全面', '学习', '领会', '。', '此次', '主题', '党日', '活动', '的', '开展', '，', '使', '党员', '们', '把', '贯彻', '党', '的', '十九', '届', '六中全会', '精神', '与', '社区', '工作', '实际', '结合', '\u200b', '展开', 'c']","['梅陇镇', '蔷薇', '二居', '党总支', '学习', '贯彻', '党', '十九', '届', '六中全会', '精神', '主题', '党日', '活动', '会上', '，', '居民区', '党总支', '书记', '围绕', '习近平', '总书记', '十九', '届', '六中全会', '上', '重要讲话', '决议', '内容', '，', '带领', '对党', '十九', '届', '六中全会', '精神', '学习', '领会', '。', '此次', '主题', '党日', '活动', '，', '使', '党员', '贯彻', '党', '十九', '届', '六中全会', '精神', '社区', '工作', '\u200b', '展开', 'c']"
